,id_equipo,cisterna,id_tanque,producto,coef_var_vol,volumen_start,volumen_start_comp,fecha_hora_start,temp_start,volumen_stop,volumen_stop_comp,fecha_hora_stop,temp_stop,temp_ref,cantidad_comp,cantidad
2,690,1,101609,0,0.001,0,0,2019-12-19 10:30:33,29.4,7988.414772,7913.239002,2019-12-19 10:57:10,24.5,15,7913.239002,7988.414772
2,690,2,101610,0,0.001,0,0,2019-12-19 10:30:16,29.2,7027.758833,6940.310916,2019-12-19 10:58:26,27.6,15,6940.310916,7027.758833
2,690,3,101643,0,0.001,0,0,2019-12-19 10:30:55,29.1,7022.193566,6918.417306,2019-12-19 10:57:14,30,15,6918.417306,7022.193566
2,690,4,101642,0,0.001,0,0,2019-12-19 10:30:51,29.3,8032.414819,7958.401683,2019-12-19 10:56:53,24.3,15,7958.401683,8032.414819
2,690,5,101611,0,0.001,0,0,2019-12-19 10:30:02,30.3,8022.020833,7943.381358,2019-12-19 10:58:24,24.9,15,7943.381358,8022.020833
3,690,6,101641,0,0.001,0,0,2019-12-19 10:31:52,32.7,7108.200495,7036.42892,2019-12-19 10:56:57,25.2,15,7036.42892,7108.200495
3,690,1,101609,0,0.001,8058.3665,7925.222758,2019-12-20 10:45:25,31.8,0,0,2019-12-20 12:30:44,36,15,-7925.222758,-8058.3665
3,690,2,101610,0,0.001,7045.642,6931.275947,2019-12-20 10:45:27,31.5,0,0,2019-12-20 12:30:56,36.1,15,-6931.275947,-7045.642
3,690,3,101643,0,0.001,7042.044,6933.192872,2019-12-20 10:46:00,30.7,0,0,2019-12-20 12:30:49,35.5,15,-6933.192872,-7042.044
3,690,4,101642,0,0.001,8095.915667,7965.284993,2019-12-20 10:45:46,31.4,0,0,2019-12-20 12:30:06,34.6,15,-7965.284993,-8095.915667
3,690,5,101611,0,0.001,8095.145333,7966.878588,2019-12-20 10:45:53,31.1,0,0,2019-12-20 12:30:22,35.7,15,-7966.878588,-8095.145333
4,690,6,101641,0,0.001,7172.590857,7052.695041,2019-12-20 10:46:00,32,0,0,2019-12-20 12:30:20,38.2,15,-7052.695041,-7172.590857